# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = tuple_model_model
# start_datetime = 2023-11-19 17:45:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4024025201 (Default)
# output
#   file = /Users/rob/Projects/Julia/notebooks/notebooks/tmp/tuple_model_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,x.1.1,x.2.1,x.1.2,x.2.2,x.1.3,x.2.3,z.1.1.1,z.2.1.1,z.1.2.1,z.2.2.1,z.1.1.2,z.2.1.2,z.1.2.2,z.2.2.2,z.1.1.3,z.2.1.3,z.1.2.3,z.2.2.3
-14.2046,0.996516,0.248167,4,15,0,24.295,0.980851,-0.92649,-0.923055,0.273601,0.233479,-0.0198254,-0.277976,0.0521347,1.2742,1.75198,1.54743,1.32091,1.07043,0.919972,0.433621,0.549156,0.0547338,0.69761,1.48838
-14.7295,0.885295,0.248167,4,15,0,24.4048,0.401615,-0.521459,-1.01508,0.628336,0.516752,-1.21363,-1.08459,2.80933,0.426571,0.485563,1.39112,0.638715,1.82411,0.674327,0.744925,0.213727,0.247541,0.69519,1.04512
-10.5579,0.987566,0.248167,4,15,0,23.2452,0.461339,-0.707117,-0.269894,0.785768,-0.627484,-0.0893653,-0.121805,0.403266,0.346379,0.374601,1.23567,0.689884,0.696141,1.58851,0.486309,0.779336,0.982201,0.222064,1.00382
-9.98013,0.984106,0.248167,4,15,0,17.9412,-0.434518,0.549541,0.119397,-0.73959,0.862401,-0.0497027,0.246544,0.681608,0.53483,0.291433,1.03064,1.48632,0.362629,0.454979,0.390096,0.694998,1.28251,1.07509,0.909123
-10.0616,0.98913,0.248167,4,15,0,15.3512,0.341553,0.373398,-0.533687,0.205782,-0.148716,-0.187288,-1.00375,0.723891,1.53843,0.597064,0.79447,0.564081,0.901038,0.0652256,1.11519,1.12471,0.661136,0.842785,0.987603
-13.4256,0.882293,0.248167,4,15,0,18.0097,1.29207,-0.16829,0.320208,0.615843,-1.58319,0.0121,-1.28644,1.51006,0.677294,0.594306,1.14435,0.418837,1.42803,0.102245,0.938567,0.530946,1.5551,0.344509,1.35425
-20.9885,0.839921,0.248167,4,15,0,29.3109,0.27241,1.83786,0.200306,-0.575236,0.22276,0.391709,-0.836963,0.58425,1.30725,1.25582,0.825464,0.0174256,0.229599,2.22509,0.0433752,1.43586,0.502397,1.86945,0.0380481
-22.5547,0.9762,0.248167,4,15,0,29.6072,-0.353335,-1.66508,0.236999,1.62671,-0.872118,-1.21545,1.14422,0.74992,0.481397,0.777085,1.13967,0.0368272,0.106994,0.159271,0.627137,0.355164,0.515261,0.218328,0.0183751
-23.7732,0.984699,0.248167,4,15,0,30.2668,-0.282394,-1.89364,0.145152,1.70528,-0.694686,-1.39078,1.61451,1.16485,0.441273,0.506629,1.23592,0.0343377,0.140213,0.178163,0.494408,0.391468,0.417018,0.238517,0.0221375
-24.4969,0.997799,0.248167,4,15,0,28.2463,-0.319186,-1.96055,0.042015,1.73243,-0.611532,-1.61387,1.60857,0.935396,0.389943,0.488807,1.0986,0.0283949,0.188471,0.208794,0.388458,0.397767,0.361961,0.168982,0.0262597
-18.8762,0.994066,0.248167,4,15,0,31.3451,0.950104,0.214293,-1.20646,-0.648084,0.52814,1.43265,-1.10407,0.978612,1.32337,1.5833,0.0620517,0.231583,1.67491,0.480352,1.5066,0.184142,1.9336,0.76804,0.0276278
-20.235,0.9376,0.248167,4,15,0,25.5218,-1.11388,0.799716,0.645832,0.22477,-0.657597,-1.59248,0.583792,0.635164,0.649915,0.619119,2.88096,1.79632,0.457818,0.41125,0.590714,2.24775,0.0438532,1.05552,3.00356
-21.4659,0.951918,0.248167,4,15,0,30.7273,0.879448,-1.36921,0.380291,-0.272711,0.0303065,1.74078,-0.373329,0.381782,0.161478,1.41303,0.0358306,0.313353,1.19131,1.7189,0.478955,0.0242339,1.23084,0.56842,0.0466809
-17.8106,0.983284,0.248167,4,15,0,28.6327,-1.52997,-0.231332,-1.64159,1.37648,0.304958,0.0443253,-1.29703,1.61419,0.452242,0.602831,0.0103898,0.709878,0.636619,0.477679,1.49729,0.483054,0.892008,0.589987,2.16916
-16.7972,0.949827,0.248167,4,15,0,25.8986,1.60362,0.426844,1.6919,-1.51582,-0.300603,-0.182773,1.38175,0.199905,0.445128,0.768808,0.0512911,0.583856,1.23371,0.865586,0.943713,1.17341,0.509348,1.7253,0.317451
-14.8438,0.988294,0.248167,4,15,0,20.8304,-1.73059,-0.485266,-1.9059,1.31629,0.293046,-0.115749,-1.53072,1.31377,1.51915,0.16469,0.996119,0.356252,0.705147,1.26033,1.12944,0.80533,1.63471,0.446707,1.36135
-16.8333,0.783054,0.248167,4,15,0,33.04,-1.50565,-0.0353655,-1.71138,1.22057,0.51296,-0.200063,-1.67072,0.851493,1.47813,0.104897,1.08901,0.243572,0.419503,0.601583,1.5313,0.427685,1.4165,0.526555,2.26067
-13.7315,0.964929,0.248167,4,15,0,22.2641,-0.572299,0.383798,-0.495678,1.52368,0.297657,-0.843489,-1.80221,1.29667,0.676725,0.3257,0.916489,0.290193,0.196693,0.863588,1.47696,0.377888,1.08817,0.370912,1.22245
-14.3707,0.977104,0.248167,4,15,0,23.9128,-0.727833,-0.801807,0.580573,-0.779829,-0.695829,0.673138,1.03361,0.76378,0.205705,1.86146,0.319364,0.199143,0.688287,1.06361,0.611788,0.828995,0.0904,1.72474,0.820941
-19.2789,0.987557,0.248167,4,15,0,25.6081,-0.0437821,0.0177362,-0.729095,0.73316,1.76725,-0.818241,-1.28209,0.13376,0.114127,0.413474,0.764364,0.439044,1.38311,0.52868,1.47849,0.979171,0.00720111,0.42065,0.462074
-20.2845,0.94458,0.248167,4,15,0,29.858,-0.144715,0.488284,-0.493657,-2.51181,0.350537,1.90322,0.143629,2.35191,2.01976,1.73007,1.1179,1.95273,0.840855,1.4641,0.214126,0.647017,0.0222737,1.10675,0.281482
-13.9611,0.854088,0.248167,3,15,0,28.4852,-0.306302,-0.620623,0.071238,-0.0262725,0.920027,0.747178,0.460798,0.166182,0.396499,0.611692,1.80377,0.752134,0.198364,1.35195,0.278172,1.17684,0.144461,1.10125,0.295684
-18.107,0.950086,0.248167,4,15,0,27.1769,1.40904,-0.0606598,1.48169,-0.910208,1.57574,-0.44751,0.315229,0.0350829,0.132417,0.452619,1.20504,1.13738,0.576667,0.356408,2.37558,0.436682,0.547483,1.67483,1.21609
-22.9466,0.918097,0.248167,4,15,0,32.4261,-0.489559,0.704282,-2.30554,1.20441,1.2179,-0.335324,0.413241,1.70855,2.01018,1.30918,0.095485,0.495341,1.08709,0.205392,0.187435,0.00987853,1.23112,0.0912338,0.432756
-24.3271,0.926107,0.248167,4,15,0,36.3203,-2.40872,0.514645,-2.10427,-0.137458,-1.43911,0.193965,0.151242,0.352902,0.618573,0.923728,0.0460736,0.759626,1.28583,1.25412,1.72841,0.00812147,1.09061,0.0378118,2.06197
-21.9185,0.955698,0.248167,4,31,0,33.4709,-0.488456,0.876772,-1.55261,-0.667374,-0.880964,1.43535,-0.501739,0.381249,1.50717,0.779427,0.0329442,0.830561,1.4564,1.06927,1.55115,0.0130344,1.30004,0.00819892,0.943513
-22.637,0.854033,0.248167,4,15,0,32.2333,-1.18907,-2.30429,-0.828796,-0.516108,0.322894,-1.86374,0.847364,1.8617,0.399376,0.946632,0.0718854,1.20706,0.51149,0.928772,0.340035,0.133367,0.216387,0.0136185,0.793687
-20.6323,0.968104,0.248167,4,15,0,39.4318,0.085909,1.85995,0.849612,0.450144,-0.785102,-0.516062,0.271807,0.228373,0.148482,0.410249,0.00185485,0.817204,0.813709,1.02496,0.619567,0.290578,1.50916,0.0876525,1.30316
-25.0642,0.904469,0.248167,4,15,0,33.0174,-0.196319,-2.9348,-1.88277,-1.89717,-0.449054,1.37737,-0.654873,0.778345,0.0774541,1.56735,0.0167369,1.18653,1.08108,0.688732,0.205993,0.464371,0.549319,0.87734,0.0800945
-28.9337,0.971238,0.248167,4,15,0,32.891,-0.667504,-3.12992,-2.19144,-1.56709,-0.481461,0.82627,-0.505877,0.51104,0.0522636,2.07083,0.0169987,2.26801,1.9526,0.47994,0.110763,0.53357,0.439262,0.941439,0.1217
-31.1397,0.982863,0.248167,4,15,0,42.1025,-0.230419,2.58515,1.72243,0.115031,0.131759,-0.528032,-0.677841,0.459504,0.136174,0.247686,0.00875749,0.182459,0.31052,0.0533718,0.000872561,0.23113,1.36238,1.05438,2.01445
-25.5022,0.975855,0.248167,4,15,0,39.0729,-0.296456,-0.484442,-0.776741,-0.662662,0.601456,-0.340839,0.525137,1.4581,0.934071,2.11218,0.0474156,2.33802,1.0982,2.56298,0.000479777,0.149683,0.0808991,0.957022,0.251789
-24.9758,0.969672,0.248167,4,15,0,32.9261,-0.289779,0.130887,1.42165,0.62003,0.491382,-0.246579,-0.675935,0.113178,0.520434,0.134026,0.180705,0.138499,0.324402,0.0996286,0.00176322,0.55218,2.86483,0.911656,1.03256
-24.3925,0.941837,0.248167,4,15,0,42.3102,0.883,2.36239,1.48216,-1.10509,0.287353,-0.468217,2.44843,0.269093,0.0709214,0.768925,0.753369,0.0234131,1.79281,1.48672,2.11883,1.0757,0.0745995,0.645252,0.966385
-21.2427,0.952524,0.248167,4,15,0,32.5513,-1.55231,-1.84165,-0.54885,0.693389,-0.151637,1.37494,-1.27616,1.96292,0.585975,0.643113,1.1189,3.46546,0.182105,0.5844,0.217381,0.483684,1.47097,0.102716,1.0163
-15.8239,0.628573,0.248167,4,15,0,31.9711,-1.55519,-1.19934,-0.879254,0.248122,-0.460001,1.32605,-1.10429,2.3181,0.895641,0.615751,1.286,1.51386,0.251368,0.899981,0.599757,1.62277,1.5643,0.100993,0.386819
-16.1224,0.99099,0.248167,4,15,0,26.317,0.790256,0.914417,-0.979749,0.462907,1.00887,0.450593,-2.72777,0.261028,1.01853,1.23117,1.01225,0.691606,0.305135,1.1457,1.51602,0.615311,0.633364,2.2761,2.02951
-20.1942,0.773662,0.248167,4,15,0,26.1988,-0.674823,-0.414686,0.858685,-0.408818,-0.688758,-0.763379,2.69106,0.962649,0.739375,0.148079,0.362969,0.431899,0.31229,0.472786,0.404252,1.57482,1.46122,0.0638794,0.0508016
-20.8017,0.952759,0.248167,4,15,0,32.5043,-0.550561,-0.152646,0.485062,-1.17146,-1.19226,-1.15033,2.26956,1.22766,0.221594,0.0799622,0.420698,0.107829,0.552072,0.557668,0.450723,1.18212,1.07553,0.13479,0.0704274
-21.5893,0.969822,0.248167,4,15,0,30.3971,-0.738733,0.781551,0.261266,-0.24002,-0.355,-0.888012,2.7692,0.599907,0.206619,0.474014,0.147548,0.0653664,0.456609,1.64532,0.184645,0.953837,1.2319,0.0776133,0.168915
-12.7272,0.990031,0.248167,4,15,0,27.4262,0.150283,-0.950379,-0.312966,0.321144,0.9082,0.281071,-2.17156,1.39478,1.32569,1.13405,0.530805,0.992398,1.4889,0.349622,0.883403,0.700222,0.605573,2.46518,0.754325
-13.2231,0.938437,0.248167,4,15,0,22.4279,0.444448,0.382975,-1.1888,-0.561328,-1.09424,0.192067,-2.38835,0.588865,1.50186,1.21434,0.701492,0.713914,1.35954,1.50256,0.913721,0.409452,0.497718,0.530199,1.8817
-17.2552,0.917085,0.248167,4,15,0,23.9699,-0.332036,-0.65983,0.863841,0.284606,1.38221,-0.177813,2.43249,2.07817,0.233086,1.59376,1.54373,0.539595,0.143293,0.798749,1.00498,1.85626,0.183941,1.03279,0.357817
-14.8387,0.949609,0.248167,4,15,0,25.0403,0.532584,-0.095403,-0.486544,-0.447237,0.250613,-0.648001,-1.85077,0.22558,0.892726,0.444523,0.236625,0.250225,0.319308,1.21644,0.722199,0.120865,1.56905,0.660057,0.485099
-13.8801,1,0.248167,4,15,0,19.67,0.280581,0.7711,0.114475,-0.451412,-0.087348,0.792787,1.41838,0.194198,1.04012,0.541326,0.542678,0.19067,0.0944396,1.18845,0.837842,0.198063,1.05425,0.615346,1.1259
-16.6554,0.968298,0.248167,4,15,0,23.3382,0.015673,0.731692,-0.297645,-0.118237,0.482945,1.58183,1.24195,0.0760667,1.32317,1.07388,0.634958,0.388728,0.0656147,0.556295,1.00603,0.123813,1.24742,0.599773,2.14028
-15.6653,0.982379,0.248167,4,15,0,25.5578,-0.121439,-0.644157,0.17866,0.130626,-1.33456,-1.51739,-1.51936,0.419505,0.807095,0.930449,1.44982,2.00694,2.52401,1.37398,0.717204,0.126082,0.725184,0.859366,0.212276
-16.8305,0.990238,0.248167,4,15,0,24.5243,-0.264269,1.14641,-0.838177,-0.124672,1.80821,1.3464,1.82213,0.379214,1.2053,0.343409,0.582172,0.297817,0.14521,0.282363,0.468437,1.52788,0.672574,1.13452,0.445956
-15.8611,0.969137,0.248167,4,15,0,25.0537,-1.10715,-1.57326,-0.0806271,0.46402,-1.52314,0.858383,-0.679296,0.236215,0.085008,1.7319,1.07969,0.383824,0.219563,0.980318,1.6797,0.315914,1.13919,0.887733,1.22298
-19.8417,0.925658,0.248167,4,15,0,25.8645,-1.23426,-0.798716,-0.846544,0.678248,-0.180725,-0.112326,-1.71962,0.631265,3.61169,0.298487,0.31348,0.32105,0.24961,1.1949,0.154808,1.86539,0.347009,1.22458,0.905356
-18.5645,1,0.248167,4,15,0,26.451,-1.23523,-0.191825,-0.567125,-0.368461,0.462914,1.70904,-1.00852,0.668589,0.0909879,0.0943678,0.588588,0.852829,2.12786,0.670243,0.0716509,0.137301,0.511743,0.563566,1.25372
-18.541,0.816448,0.248167,4,15,0,28.3898,1.2331,0.481168,0.398456,0.310819,-0.171397,-1.74466,0.992576,1.37502,0.281778,0.324797,1.2683,1.40663,0.0111827,1.50435,2.67566,0.26442,0.421547,0.79823,1.09624
-13.6927,0.997622,0.248167,4,15,0,23.3487,-0.4423,0.520331,-0.96801,-0.849417,0.834424,0.0757246,-0.0485035,0.57734,1.40337,1.91756,0.777842,0.508886,0.263328,0.306966,0.0934347,0.98256,1.51301,0.440199,0.299752
-15.6573,0.940787,0.248167,4,15,0,26.8336,0.903936,-0.805248,0.663432,-0.543776,1.2595,-1.30171,-0.947294,1.30394,0.429361,0.351982,0.438285,0.88535,1.89677,0.153682,0.385007,0.737543,0.328786,1.3394,0.138729
-20.6452,0.814925,0.248167,4,15,0,36.3359,0.74226,1.25731,-1.11523,0.541639,1.4004,0.681128,1.53886,0.422022,0.827522,2.32329,0.912606,0.155227,0.134944,0.0589053,1.13795,1.28327,2.79503,1.06462,0.262492
-18.2489,1,0.248167,4,15,0,30.6091,0.515476,-0.630276,0.511554,-1.1503,0.202259,-0.544547,-1.83925,0.262759,0.797695,0.0967945,0.799275,1.71301,2.37811,0.250349,0.500066,0.737559,0.0799896,0.458516,2.02929
-18.2522,0.980409,0.248167,4,15,0,27.4077,-0.431768,0.626567,-0.347557,1.12793,-0.220203,0.494819,1.85306,2.14586,0.522791,2.49509,1.35085,0.393138,0.0802908,0.457436,1.80276,0.546585,0.356753,0.160069,0.347576
-18.7095,0.947872,0.248167,4,15,0,28.553,0.114215,0.0598142,0.0380916,-0.908667,2.03952,0.0756768,-0.954692,0.0725272,0.828489,0.124735,0.0802319,1.06402,2.82734,0.402155,0.387124,1.27066,1.43783,0.878936,0.553145
-17.1973,0.93175,0.248167,4,15,0,28.5344,1.27476,0.495857,0.104242,2.18055,-1.87166,-0.0412023,0.287501,1.17034,1.85848,0.118515,1.30378,1.38043,0.0265638,0.683382,0.774212,1.53215,1.17513,0.89874,1.10447
-22.8735,0.754297,0.248167,4,15,0,29.949,-1.28697,0.532899,0.575762,-1.49413,0.946376,-0.0182882,-0.11747,0.862342,0.0494688,1.55965,0.00687839,0.532111,0.00555915,0.207332,0.809243,0.555335,0.724843,0.429347,0.847981
-21.1601,0.982416,0.248167,4,31,0,29.623,1.83142,-0.669757,-1.26385,0.934937,-0.133536,-0.901917,-0.708758,0.840767,1.01322,0.576425,3.58759,0.740148,0.00582749,0.238617,0.658112,1.41676,1.13419,1.73695,1.09654
-20.5868,1,0.248167,4,15,0,29.0832,-1.84076,0.561478,1.23074,-0.987347,-0.443531,0.970792,1.13648,1.65289,0.254197,1.68643,0.0120443,1.27734,0.167452,0.124396,1.60049,0.288893,0.519292,0.484808,1.03285
-20.567,0.955038,0.248167,4,15,0,28.9365,1.97155,-0.483837,-1.15496,0.896737,0.199421,-0.821081,-1.37315,0.749317,2.1396,0.141919,3.26605,0.488414,1.21651,2.23939,0.679457,1.2912,1.33815,0.0915329,0.6392
-21.2514,1,0.248167,4,15,0,28.6415,-1.85278,0.459443,1.16956,-0.907485,0.30617,0.766022,1.91238,1.32576,0.255916,2.14026,0.0198384,0.586312,0.0659663,0.211919,1.4408,1.13312,0.629211,0.750723,0.282937
-18.929,0.893985,0.248167,4,15,0,28.6517,1.35785,-0.0957046,-1.77083,-0.0828942,1.19347,-1.20953,-1.86625,0.703091,1.42629,0.0666743,0.0636755,1.3171,0.398997,1.80092,0.379617,0.43603,0.82494,0.976872,1.68303
-18.1668,0.995865,0.248167,4,15,0,27.9799,-1.43197,0.116145,1.20266,-0.0908611,-1.10445,1.24875,1.81408,0.627561,0.859145,0.0642382,0.0232903,0.564079,0.486173,0.563147,1.33809,0.379479,0.643338,1.22551,0.814003
-15.6342,0.993336,0.248167,4,15,0,24.2187,1.84801,-0.8578,-0.428923,0.170334,0.498584,-1.05253,-1.09059,0.641255,0.477342,1.67021,0.0247805,0.665426,1.41678,0.220642,0.620475,1.52943,0.647877,0.626517,0.776708
-13.3965,0.856259,0.248167,4,15,0,25.0315,0.0710765,0.463127,0.98208,-0.226585,-0.229226,-1.63907,-0.267465,1.23688,0.507741,0.289774,0.030986,1.36738,1.41758,0.448342,1.03424,1.53841,0.724829,0.567011,0.891588
-16.0385,0.706553,0.248167,4,15,0,24.6563,0.468465,-1.53414,-0.214095,-0.547479,0.595888,0.099402,-0.146571,0.0137617,0.111619,0.949507,0.0855183,0.785119,0.565194,1.3297,1.08711,0.630031,1.4981,1.36406,1.23296
-17.5557,0.895241,0.248167,4,15,0,27.019,-0.405859,2.4261,0.0837031,-0.517104,0.599429,-0.269526,0.487672,0.0778069,2.51161,0.842069,0.634246,0.918765,0.784153,0.714152,0.224287,1.33859,0.0479725,0.54933,0.848994
-17.2631,1,0.248167,4,15,0,23.6925,0.569092,1.22406,-0.361796,-1.13648,0.215582,1.09968,-0.825221,0.087184,0.526632,1.56305,0.606602,1.11332,1.52204,1.69429,0.0878585,0.6473,0.0484272,0.896865,0.312765
-16.1119,0.998035,0.248167,4,15,0,23.0712,0.885607,0.878914,-0.347695,-0.123855,-1.43131,0.0192213,-0.143594,0.120316,0.264624,0.710221,1.61487,0.861516,1.11788,0.601331,0.124656,0.238615,0.164954,0.530766,0.239495
-16.9513,0.991031,0.248167,4,15,0,22.0927,0.469469,0.580193,0.231856,-0.772014,-1.52782,0.422915,-0.493272,0.09453,0.310389,0.509692,1.31822,0.633899,0.613719,0.749032,0.0663025,0.287198,0.147579,0.980413,0.193762
-15.7109,0.966661,0.248167,4,15,0,27.0946,-0.849903,-0.935404,0.7413,1.17365,1.05164,-2.55544,0.527435,0.247016,0.648663,1.58034,0.423588,1.23881,1.42531,1.23696,0.981103,1.86044,0.342153,0.334809,0.857675
-14.341,0.987704,0.248167,4,15,0,23.2961,1.28574,1.62645,0.573744,-0.0540781,-0.264088,0.123605,-0.977509,0.170723,1.39302,0.523477,0.650361,0.281096,0.507643,0.54165,0.313497,0.358961,0.296661,0.572139,1.06303
-15.2941,0.97312,0.248167,4,15,0,24.8376,1.64605,1.65444,-0.263064,-0.193653,-0.412528,-0.259201,0.103329,0.0792278,1.64023,0.318457,1.10519,0.327891,0.468199,0.500106,1.07519,0.399842,0.177523,0.668844,0.746256
-12.3393,0.960365,0.248167,4,15,0,23.3763,-1.53779,-0.675374,-0.630581,-0.375613,0.415662,0.606469,1.70881,1.646,0.503678,1.24177,0.198125,1.32083,1.0213,0.421749,0.60938,1.04387,0.528491,0.931554,1.24401
-17.3664,0.791687,0.248167,4,15,0,26.4754,-1.48909,1.60908,1.0938,1.53916,0.644024,-0.966813,-0.275957,0.416307,1.74863,0.248298,2.54575,0.825298,0.282161,2.10816,0.759117,0.703798,1.02121,0.958213,0.275887
-18.606,0.832734,0.248167,4,15,0,33.6077,-0.796871,2.07941,-1.05572,-0.948313,-0.0711264,-0.348227,1.15257,0.17771,0.33224,1.30003,0.0925936,0.717961,2.23958,0.273293,0.915048,0.24477,0.462046,1.1469,2.15591
-27.1981,0.866453,0.248167,4,15,0,35.0459,0.57461,-2.61908,1.60956,1.18188,-0.231869,0.804288,-1.10496,0.0667677,1.14598,0.0602001,2.07513,0.522104,0.19508,1.68666,0.116371,0.370556,0.0241442,0.637454,0.10613
-23.1086,0.965285,0.248167,4,15,0,34.2315,-0.131478,2.82695,-1.21661,-0.532368,0.221616,-1.34494,1.08817,0.0482206,0.492467,1.99923,0.322962,0.597381,0.771909,0.406623,2.41622,1.24816,2.57182,0.105943,0.444061
-14.6299,0.99242,0.248167,4,15,0,28.6072,0.423824,1.16138,0.376934,0.0113307,-0.735586,-0.762005,1.1057,0.0157497,0.649961,0.621122,1.22549,1.36423,0.755969,1.37503,0.663467,1.31442,0.648169,0.124093,1.63141
-15.2909,0.937161,0.248167,4,15,0,19.7983,1.66722,0.906484,0.132826,-0.589481,-0.762581,-0.458851,0.493287,0.0237566,1.25878,0.736713,1.52068,1.26443,0.857141,1.06551,0.839719,1.97072,0.517508,0.107545,0.538316
-14.996,0.949821,0.248167,4,15,0,27.7841,-0.622456,-0.0569154,1.57346,1.29167,0.603632,-0.0643657,-0.260241,0.183804,1.29581,0.735073,0.222994,1.13554,0.342014,0.922457,0.799139,1.05401,0.976549,0.335024,0.0382644
-10.2728,0.981443,0.248167,4,15,0,18.6003,0.650542,0.257334,-1.30787,-1.62519,-0.585193,0.0233522,0.241721,0.523507,1.01073,0.431679,1.49472,0.557258,1.08909,0.844183,0.75898,0.790686,0.572437,0.90488,1.33647
-12.9107,0.959768,0.248167,4,15,0,18.1721,-0.647746,-0.13687,1.70807,0.19751,1.01642,-0.176665,-0.178965,1.54181,0.574369,0.949678,0.534518,0.457509,0.856672,0.103996,0.397145,1.25201,1.40953,0.251934,0.676884
-12.0211,0.954067,0.248167,4,15,0,20.6795,-0.57571,-0.450398,-0.289716,-0.523971,1.39269,0.654208,1.12502,0.238754,0.869562,0.457605,1.4567,0.73427,1.09694,0.246345,1.51516,0.57712,0.643744,0.511859,0.517746
-13.2954,0.984669,0.248167,4,15,0,18.7171,-1.01457,1.43502,0.6857,-0.0230649,0.850629,-0.370591,0.842454,1.94845,0.803412,1.95326,0.455928,1.45948,0.859413,0.657957,0.924422,0.511172,1.27655,0.161274,1.97615
-13.948,0.988866,0.248167,4,15,0,21.0751,0.133514,-0.105248,-1.35445,0.140811,0.160821,1.70065,0.420738,0.297976,0.509814,0.212932,1.30007,0.371908,0.828476,0.78608,0.551328,1.36748,0.443206,0.225577,0.279823
